question	real_answer
La principal causa de la infección por HIV-1 en los niños es la transmisión vertical, que se produce durante el embarazo, el parto o la lactancia. Esta transmisión ocurre cuando la madre está infectada con HIV y el virus se transmite al feto o al bebé recién nacido.	La transmisión de madre a hijo (TMMH) es la principal causa de la infección por HIV-1 en niños en todo el mundo.
Esta transmisión ocurre cuando la madre está infectada con HIV y el virus se transmite al feto o al bebé recién nacido	La transmisión de madre a hijo (TMMH) es la principal causa de la infección por HIV-1 en niños en todo el mundo.
La transmisión vertical, que se produce cuando la madre está infectada con HIV y el virus se transmite al feto o al bebé recién nacido	La transmisión de madre a hijo (TMMH) es la principal causa de la infección por HIV-1 en niños en todo el mundo.
¿Qué juega un papel crucial en la transmisión de HIV-1 de madre a hijo y qué aumenta el riesgo?	DC-SIGNR juega un papel crucial en la transmisión materno-infantil del VIH-1 y que la expresión placentaria disminuida de DC-SIGNR aumenta el riesgo de transmisión.
¿ Qué juega un papel crucial en la transmisión de HIV - 1 de madre a hijo y qué aumenta el riesgo?	DC-SIGNR juega un papel crucial en la transmisión materno-infantil del VIH-1 y que la expresión placentaria disminuida de DC-SIGNR aumenta el riesgo de transmisión.
¿ Qué juega un papel crucial en la transmisión de HIV - 1 de madre a hijos y qué aumenta el riesgo?	DC-SIGNR juega un papel crucial en la transmisión materno-infantil del VIH-1 y que la expresión placentaria disminuida de DC-SIGNR aumenta el riesgo de transmisión.
¿Cuántos niños se infectaron con el VIH-1 en 2008-2009 en todo el mundo?	Más de 400,000 niños se infectaron en todo el mundo, principalmente a través de la TMC y el 90% de ellos vivían en África subsahariana.
¿ Cuántos niños se infectaron con el VIH - 1 en 2008 - 2009 en todo el mundo?	Más de 400,000 niños se infectaron en todo el mundo, principalmente a través de la TMC y el 90% de ellos vivían en África subsahariana.
¿ Cuántos niños se infectaron con el VIH - 1 en 2008 - 2009 en todo el mundo? ¿ Qué hay que hacer con los niños afectados con la enfermedad infectada en toda la vida?	Más de 400,000 niños se infectaron en todo el mundo, principalmente a través de la TMC y el 90% de ellos vivían en África subsahariana.
¿Cuál es el papel del Ligando Quimioquina C-C Motivo 3 Similar 1 (CCL3L1) en la transmisión de HIV-1 de madre a hijo?	Altos números de copias de CCL3L1, un ligando supresor potente del VIH-1 para CCR5, se asocian con una mayor producción de quimiocinas y un menor riesgo de TMC del VIH-1 entre los bebés sudafricanos.
¿ Cuál es el papel del Ligando Quimioquina C - C Motivo 3 Similar 1 ( CCL3L1 ) en la transmisión de HIV - 1 de madre a hijo de padres a hijos	Altos números de copias de CCL3L1, un ligando supresor potente del VIH-1 para CCR5, se asocian con una mayor producción de quimiocinas y un menor riesgo de TMC del VIH-1 entre los bebés sudafricanos.
¿ Cuál es el papel del Ligando Quimioquina C - C motivo 3 Similar 1 ( CCL3L1 ) en la transmisión de HIV - 1 de madre a hijo de padres a hijos	Altos números de copias de CCL3L1, un ligando supresor potente del VIH-1 para CCR5, se asocian con una mayor producción de quimiocinas y un menor riesgo de TMC del VIH-1 entre los bebés sudafricanos.
¿Qué es DC-GENR y dónde se expresa?	Célula dendrítica específica de ICAM-agarradora no relacionada con integrinas (DC-SIGNR, también conocida como CD209L o ICAM-agarradora no relacionada con integrinas específica de hígado/nódulo linfático (L-SIGN)) puede interactuar con una variedad de patógenos, incluyendo el HIV-1, y se expresa en células endoteliales de capilares placentarios.
¿ Qué es DC - GENR y dónde se expresa la expresión? ¿ Cuáles son las declaraciones que hacen los lectores de EL PAÍS sobre el desarrollo de la serie de EE UU - S - D	Célula dendrítica específica de ICAM-agarradora no relacionada con integrinas (DC-SIGNR, también conocida como CD209L o ICAM-agarradora no relacionada con integrinas específica de hígado/nódulo linfático (L-SIGN)) puede interactuar con una variedad de patógenos, incluyendo el HIV-1, y se expresa en células endoteliales de capilares placentarios.
¿ Qué es DC - GENR y dónde se expresa la expresión? ¿ Cuáles son las declaraciones que hacen los lectores de EL PAÍS en las que se expresan los resultados de las elecciones de EE UU	Célula dendrítica específica de ICAM-agarradora no relacionada con integrinas (DC-SIGNR, también conocida como CD209L o ICAM-agarradora no relacionada con integrinas específica de hígado/nódulo linfático (L-SIGN)) puede interactuar con una variedad de patógenos, incluyendo el HIV-1, y se expresa en células endoteliales de capilares placentarios.
¿Cómo afecta la presencia de DC-SIGNR la transmisión vertical del VIH-1?	La presencia de DC-SIGNR en la superficie de las células endoteliales placentarias puede proteger a los bebés de la infección por HIV-1 al capturar el virus y promover su degradación/presentación.
¿ Cómo afecta la presencia de DC - SIGR la transmisión vertical del VIH - 1?	La presencia de DC-SIGNR en la superficie de las células endoteliales placentarias puede proteger a los bebés de la infección por HIV-1 al capturar el virus y promover su degradación/presentación.
""" ¿ Cómo afecta la presencia de DC - SIGR la transmisión vertical del VIH - 1? """	La presencia de DC-SIGNR en la superficie de las células endoteliales placentarias puede proteger a los bebés de la infección por HIV-1 al capturar el virus y promover su degradación/presentación.
¿Por qué los bajos niveles de DC-SIGNR aumentan la transmisión del VIH-1 de madre a hijo?	En la placenta que contiene bajos niveles de DC-SIGNR, el HIV-1 se uniría preferentemente a CCR5 en las células endoteliales, lo que resulta en la pérdida de la integridad de la barrera placentaria y un aumento en el paso de células madre infectadas con HIV-1 al flujo sanguíneo fetal, lo que conduce a la transmisión materno-infantil del HIV-1.
¿ Por qué los bajos niveles de DC - SIGR aumentan la transmisión del VIH - 1 de madre a hijo?	En la placenta que contiene bajos niveles de DC-SIGNR, el HIV-1 se uniría preferentemente a CCR5 en las células endoteliales, lo que resulta en la pérdida de la integridad de la barrera placentaria y un aumento en el paso de células madre infectadas con HIV-1 al flujo sanguíneo fetal, lo que conduce a la transmisión materno-infantil del HIV-1.
¿ Por qué los bajos niveles de DC - SIGN aumentan la transmisión del VIH - 1 de madre a hijo?	En la placenta que contiene bajos niveles de DC-SIGNR, el HIV-1 se uniría preferentemente a CCR5 en las células endoteliales, lo que resulta en la pérdida de la integridad de la barrera placentaria y un aumento en el paso de células madre infectadas con HIV-1 al flujo sanguíneo fetal, lo que conduce a la transmisión materno-infantil del HIV-1.
¿Cuál es el porcentaje de transmisión del VIH-1 de madre a hijo, cuando no hay intervención alguna?	Sin intervenciones específicas, la tasa de transmisión del VIH-1 de madre a hijo (TMC) es aproximadamente del 15-45%.
¿ Cuál es el porcentaje de transmisión del VIH - 1 de madre a hijo, cuando no hay intervención alguna para intervenir alguna de las intervenciones más costosas de todo el mundo? ¿ Cuáles son los resultados que se pueden hacer en el VIH. ¿ Qué es un porcentaje del control de la detección del	Sin intervenciones específicas, la tasa de transmisión del VIH-1 de madre a hijo (TMC) es aproximadamente del 15-45%.
¿ Cuál es el porcentaje de transmisión del VIH - 1 de madre a hijo, cuando no hay intervención alguna para intervenir alguna de las intervenciones más costosas de todo el mundo? ¿ Cuáles son los resultados de los primeros estudios que se pueden hacer en favor de la detección de esta enfermedad	Sin intervenciones específicas, la tasa de transmisión del VIH-1 de madre a hijo (TMC) es aproximadamente del 15-45%.
¿El receptor de quimiocina C-C tipo 5 (CCR5) afecta la transmisión del VIH-1?	Los variantes genéticos en CCR5 se han demostrado que influyen en la transmisión vertical del VIH-1. Los variantes del promotor CCR5 que resultan en una mayor expresión del receptor se asociaron con un mayor riesgo de TMC del VIH-1 entre los africanos subsaharianos.
¿ El receptor de quimioterapia C - C afecta la transmisión del VIH - 1?	Los variantes genéticos en CCR5 se han demostrado que influyen en la transmisión vertical del VIH-1. Los variantes del promotor CCR5 que resultan en una mayor expresión del receptor se asociaron con un mayor riesgo de TMC del VIH-1 entre los africanos subsaharianos.
El receptor de quimioterapia C - C ( CCR5 ) afecta la transmisión del VIH - 1	Los variantes genéticos en CCR5 se han demostrado que influyen en la transmisión vertical del VIH-1. Los variantes del promotor CCR5 que resultan en una mayor expresión del receptor se asociaron con un mayor riesgo de TMC del VIH-1 entre los africanos subsaharianos.
¿Cómo afecta la lectina de unión a manosa (MBL) la eliminación del patógeno HIV-1?	Lectina de unión a manosa (MBL) es un receptor inmunológico innato sintetizado en el hígado y secretado en la sangre en respuesta a señales de inflamación. La MBL promueve la eliminación de patógenos a través de la opsonización y la fagocitosis.
¿ Cómo afecta la lectina de unión a manosa ( MBL ) la eliminación del patógeno HIV - 1?	Lectina de unión a manosa (MBL) es un receptor inmunológico innato sintetizado en el hígado y secretado en la sangre en respuesta a señales de inflamación. La MBL promueve la eliminación de patógenos a través de la opsonización y la fagocitosis.
¿ Cómo afecta la lectina de unión a manosa ( MBL ) la eliminación del HIV - 1?	Lectina de unión a manosa (MBL) es un receptor inmunológico innato sintetizado en el hígado y secretado en la sangre en respuesta a señales de inflamación. La MBL promueve la eliminación de patógenos a través de la opsonización y la fagocitosis.
¿Cómo se puede reducir el efecto del CCR5 en la transmisión del HIV-1?	La polimorfismo de 32-pb de deleción en CCR5 ha demostrado proteger contra la transmisión vertical del VIH-1.
¿ Cómo se puede reducir el efecto del CCR5 en la transmisión del HIV - 1?	La polimorfismo de 32-pb de deleción en CCR5 ha demostrado proteger contra la transmisión vertical del VIH-1.
¿ Cómo se puede reducir el efecto del CCR5 en la transmisión del HIV - 1? ¿ Qué puede reducciónr el aumento de los beneficios de las redes de transmisión de la web del servicio de noticias de EL PAÍS en el que se pueden reducir los efectos de de forma	La polimorfismo de 32-pb de deleción en CCR5 ha demostrado proteger contra la transmisión vertical del VIH-1.
¿Cuántas mascarillas quirúrgicas o respiradores han proyectado los estudios pasados que se requerirán para una pandemia en los Estados Unidos?	Aproximadamente 7.300 millones
¿ Cuántas mascarillas quirúrgicas o respiradores han proyectado los estudios pasados que se requerirán para una pandemia en los Estados Unidos	Aproximadamente 7.300 millones
¿ Cuántas mascarillas quirúrgicas o respiradores han proyectado los estudios pasados que se necesitarán para una pandemia en los Estados Unidos	Aproximadamente 7.300 millones
¿Cuál es el acrónimo MERS-CoV?	Síndrome respiratorio del coronavirus del Oriente Medio
¿ Cuál es el acrónimo MERS - CoV? ¿ Cuáles son los datos más comunes de la lista de los reportajes de EL PAÍS en el que te ofrecemos una selección de las mejores fotos del año en las webs del swide	Síndrome respiratorio del coronavirus del Oriente Medio
¿ Cuál es el acrónimo MERS - CoV? ¿ Cuáles son los datos más comunes de la lista de los reportajes de EL PAÍS en el que te ofrecemos una selección de las mejores fotos del año en las webs del swide	Síndrome respiratorio del coronavirus del Oriente Medio
¿Cuáles son los factores críticos que determinan el efecto de una epidemia?	Transmisibilidad y severidad
¿ Cuáles son los factores críticos que determinan el efecto de una epidemia epidemia?	Transmisibilidad y severidad
¿ Cuáles son los factores críticos que determinan el efecto de una epidemia epidemia que afecta a los derechos humanos?	Transmisibilidad y severidad
¿Cuándo declaró la Organización Mundial de la Salud (OMS) oficialmente la epidemia de 2019-nCoV como una Emergencia de Salud Pública de Preocupación Internacional?	30 de enero de 2020
¿ Cuándo declaró la OMS oficialmente la epidemia de 2019 - nCoV como una Emergencia de Salud Pública de Preocupación Internacional?	30 de enero de 2020
¿ Cuándo declaró la Organización Mundial de la Salud oficialmente la epidemia de 2019 - nCoV como una Emergencia de Salud Pública de Preocupación Internacional?	30 de enero de 2020
¿Qué virus de la influenza se identificó en China en 2013?	H7N9
¿ Qué virus de la influenza se identificó en China en 2013?	H7N9
¿ Qué virus de la influenza se identificó en China en 2013? En 2013	H7N9
¿Qué investigación pasada se ha realizado sobre pandemias severas y únicas en forma de onda?	Después de que se identificó un nuevo virus de la influenza (H7N9) en China en 2013, una serie de artículos de modelado describieron el efecto de, y el nivel de preparación para, una pandemia severa y única en las Estados Unidos.
