question	real_answer
La principal causa de la infección por HIV-1 en los niños es la transmisión vertical, que se produce durante el embarazo, el parto o la lactancia. Esta transmisión ocurre cuando la madre está infectada con HIV y el virus se transmite al feto o al bebé recién nacido.	La transmisión de madre a hijo (TMMH) es la principal causa de la infección por HIV-1 en niños en todo el mundo.
¿Qué juega un papel crucial en la transmisión de HIV-1 de madre a hijo y qué aumenta el riesgo?	DC-SIGNR juega un papel crucial en la transmisión materno-infantil del VIH-1 y que la expresión placentaria disminuida de DC-SIGNR aumenta el riesgo de transmisión.
¿Cuántos niños se infectaron con el VIH-1 en 2008-2009 en todo el mundo?	Más de 400,000 niños se infectaron en todo el mundo, principalmente a través de la TMC y el 90% de ellos vivían en África subsahariana.
¿Cuál es el papel del Ligando Quimioquina C-C Motivo 3 Similar 1 (CCL3L1) en la transmisión de HIV-1 de madre a hijo?	Altos números de copias de CCL3L1, un ligando supresor potente del VIH-1 para CCR5, se asocian con una mayor producción de quimiocinas y un menor riesgo de TMC del VIH-1 entre los bebés sudafricanos.
¿Qué es DC-GENR y dónde se expresa?	Célula dendrítica específica de ICAM-agarradora no relacionada con integrinas (DC-SIGNR, también conocida como CD209L o ICAM-agarradora no relacionada con integrinas específica de hígado/nódulo linfático (L-SIGN)) puede interactuar con una variedad de patógenos, incluyendo el HIV-1, y se expresa en células endoteliales de capilares placentarios.
¿Cómo afecta la presencia de DC-SIGNR la transmisión vertical del VIH-1?	La presencia de DC-SIGNR en la superficie de las células endoteliales placentarias puede proteger a los bebés de la infección por HIV-1 al capturar el virus y promover su degradación/presentación.
¿Por qué los bajos niveles de DC-SIGNR aumentan la transmisión del VIH-1 de madre a hijo?	En la placenta que contiene bajos niveles de DC-SIGNR, el HIV-1 se uniría preferentemente a CCR5 en las células endoteliales, lo que resulta en la pérdida de la integridad de la barrera placentaria y un aumento en el paso de células madre infectadas con HIV-1 al flujo sanguíneo fetal, lo que conduce a la transmisión materno-infantil del HIV-1.
¿Cuál es el porcentaje de transmisión del VIH-1 de madre a hijo, cuando no hay intervención alguna?	Sin intervenciones específicas, la tasa de transmisión del VIH-1 de madre a hijo (TMC) es aproximadamente del 15-45%.
¿El receptor de quimiocina C-C tipo 5 (CCR5) afecta la transmisión del VIH-1?	Los variantes genéticos en CCR5 se han demostrado que influyen en la transmisión vertical del VIH-1. Los variantes del promotor CCR5 que resultan en una mayor expresión del receptor se asociaron con un mayor riesgo de TMC del VIH-1 entre los africanos subsaharianos.
¿Cómo afecta la lectina de unión a manosa (MBL) la eliminación del patógeno HIV-1?	Lectina de unión a manosa (MBL) es un receptor inmunológico innato sintetizado en el hígado y secretado en la sangre en respuesta a señales de inflamación. La MBL promueve la eliminación de patógenos a través de la opsonización y la fagocitosis.
¿Cómo se puede reducir el efecto del CCR5 en la transmisión del HIV-1?	La polimorfismo de 32-pb de deleción en CCR5 ha demostrado proteger contra la transmisión vertical del VIH-1.
¿Cuántas mascarillas quirúrgicas o respiradores han proyectado los estudios pasados que se requerirán para una pandemia en los Estados Unidos?	Aproximadamente 7.300 millones
¿Cuál es el acrónimo MERS-CoV?	Síndrome respiratorio del coronavirus del Oriente Medio
¿Cuáles son los factores críticos que determinan el efecto de una epidemia?	Transmisibilidad y severidad
¿Cuándo declaró la Organización Mundial de la Salud (OMS) oficialmente la epidemia de 2019-nCoV como una Emergencia de Salud Pública de Preocupación Internacional?	30 de enero de 2020
¿Qué virus de la influenza se identificó en China en 2013?	H7N9
¿Qué investigación pasada se ha realizado sobre pandemias severas y únicas en forma de onda?	Después de que se identificó un nuevo virus de la influenza (H7N9) en China en 2013, una serie de artículos de modelado describieron el efecto de, y el nivel de preparación para, una pandemia severa y única en las Estados Unidos.
¿Cuál es la tasa de ataque clínico?	La proporción de individuos que se enferman o mueren de una enfermedad en una población inicialmente no infectada.
¿Cuál fue la tasa de ataque clínico en la pandemia de H1N1 de 2009?	20%
¿Cuál es el R0 estimado del COVID-19?	2.2
¿Cuántos ventiladores han proyectado los estudios pasados que se requerirán para una pandemia en los Estados Unidos?	Entre 35 000 y 60 000
¿Qué tipo de bacterias se implican en portar genes de resistencia a drogas?	Gammaproteobacteria
¿Cuál podría ser una causa probable de la propagación de patógenos de fregadero a fregadero en el entorno hospitalario?	a través de una tubería sanitaria común
¿Qué tipos de infecciones respiratorias agudas se pueden cribar y diagnosticar con PCR múltiple?	gripe y virus paragripales, VRS, adenovirus, rinovirus, metapneumovirus humano, enterovirus, bocavirus y coronavirus
¿Cuándo se aisló por primera vez el Coronavirus del Síndrome Respiratorio del Oriente Medio?	El virus del Síndrome Respiratorio Agudo Grave de Oriente Medio (MERS-CoV) se aisló por primera vez en 2012, en un hombre de 60 años que falleció en Jeddah, Arabia Saudita, debido a una neumonía aguda severa y fallo multiorgánico.
¿Cuál es la tasa de letalidad para el coronavirus MERS?	Tasa de fatalidad reciente (CFR) del 21%.
¿Cómo influye el género en la infección por MERS-COV?	El virus MERS-CoV infecta a más hombres que mujeres.
¿Cuál es el animal fuente para el MERS-COV?	Los camellos dromedarios son la principal fuente animal de transmisión del MERS-CoV a los humanos.
¿Cuál es el tiempo medio hasta la muerte en MERS-COV?	El tiempo medio hasta la muerte es de 11-13 días (rango de 5-27 días) entre pacientes gravemente enfermos.
¿Cuál es el período de incubación para MERS-COV?	Período de incubación de 16 días con una media de 5-6 días.
¿Cuál es el tratamiento para MERS-COV?	No hay un tratamiento específico para MERS-CoV. Al igual que la mayoría de las infecciones virales, las opciones de tratamiento son de apoyo y sintomáticas.
¿Qué grupo de edad tuvo más infecciones por MERS-COV?	La mayoría de los casos confirmados de MERS-CoV se reportaron entre personas de 40 años o más.
¿Qué factor puede influir en la replicación viral y la expresión génica?	Las frecuencias promedio de uso de codones en el genoma del huésped.
"¿Qué explica la variación en el uso de codones entre los marcos de lectura abiertos?

La variación en el uso de codones entre los marcos de lectura abiertos se puede deber a varios factores, como la evolución, la selección natural, la presión de mutaciones y la composición del genoma."	Presión mutacional y selección traduccional
¿Cuándo renunció el último Director General de la OMS?	30 de junio de 2017
"¿Por qué podría ser necesaria una organización como la OMS?

La Organización Mundial de la Salud (OMS) es fundamental para la promoción y protección de la salud en todo el mundo. Esta organización internacional se encarga de coordinar las respuestas a las emergencias sanitarias, establecer normas y estándares para la salud, y ayudar a los países a fortalecer sus sistemas de salud. La OMS también ofrece apoyo técnico y financiero a los países para ayudar a mejorar la calidad y la equidad de sus servicios de salud.

Entre las razones por las que la OMS es necesaria se encuentran:

1. Coordinación internacional: La OMS actúa como una plataforma para que los países puedan compartir información, recursos y experiencia en materia de salud. Esto permite una respuesta más efectiva a las crisis sanitarias y la implementación de políticas y programas de salud más eficientes.

2. Establecimiento de normas y estándares: La OMS establece normas y estándares internacionales para la salud, lo que garantiza que los países tengan un marco común para la evaluación y mejora de sus sistemas de salud.

3. Ayuda a los países en desarrollo: La OMS ofrece apoyo técnico y financiero a los países en desarrollo para ayudar a fortalecer sus sistemas de salud y reducir las disparidades en la salud entre los países.

4. Investigación y desarrollo: La OMS apoya la investigación y el desarrollo de nuevas tecnologías y soluciones para los problemas de salud más importantes del mundo.

5. Promoción de la salud global: La OMS promueve la salud global a través de campañas de concienciación y educación sobre los principales problemas de salud, como la malaria, la tuberculosis y el VIH/SIDA.

6. Respuesta a emergencias sanitarias: La OMS coordina las respuestas a las emergencias sanitarias, como pandemias y brotes de enfermedades, para ayudar a los países a controlar y gestionar estas situaciones de manera efectiva.

En resumen, la OMS es necesaria para garantizar que todos los países tengan acceso a servicios de salud de calidad y equitativos, y para ayudar a abordar los principales desafíos de salud a"	promover, establecer estándares en y evaluar el progreso hacia una mejor salud para las personas en todos los países.
¿De dónde debería provenir el próximo Director General de la OMS?	un país de bajos ingresos o un país de ingresos medios
¿Qué características debería tener el nuevo Director General de la OMS?	de mente abierta y creativo
¿Cuál es la principal causa de muerte entre los niños después de los 30 días de edad?	La neumonía sigue siendo la principal causa de muerte en niños fuera del período neonatal,
¿Cómo se ha reducido el número de neumonías infantiles?	Los nuevos vacunas conjugadas contra Haemophilus influenzae tipo b y Streptococcus pneumoniae han contribuido a disminuir los casos de neumonía radiológica, clínica y complicada.
¿Qué porcentaje de muertes infantiles se deben a la neumonía?	Aproximadamente, 900,000 de las estimadas 6,3 millones de muertes infantiles en 2013.
¿Cómo ha crecido la población infantil en las últimas dos décadas?	población infantil global de 605 millones en 2000 a 664 millones en 2015
¿Cuál es la reducción en el número de casos de neumonía infantil?	Los datos recientes sugieren que ha habido una disminución del 25% en la incidencia de la neumonía, pasando de 0,29 episodios por niño-año en países de ingresos bajos y medianos en 2000, a 0,22 episodios por niño-año en 2010 [3]. Esto se ve respaldado por una disminución del 58% en los años de vida ajustados por discapacidad (AVAD) asociados con neumonía entre 1990 y 2013, pasando de 186 millones a 78 millones.
¿Cuánta es la reducción en las muertes por neumonía infantil?	Las muertes por neumonía disminuyeron de 1,8 millones en 2000 a 900,000 en 2013.
Tasa de neumonía infantil para países de altos ingresos versus países de bajos y medianos ingresos.	La incidencia en países de alta renta se estima en 0,015 episodios por niño año, en comparación con 0,22 episodios por niño año en países de baja y media renta [3]. En promedio, 1 de cada 66 niños en países de alta renta se ve afectado por neumonía cada año, en comparación con 1 de cada 5 niños en países de baja y media renta.
¿Qué porcentaje de muertes por neumonía infantil ocurre fuera del hospital en países de bajos y medianos ingresos?	Hasta el 81% de las muertes por neumonía severa ocurren fuera de un hospital.
Tasas de letalidad por neumonía infantil en países de alta renta versus países de baja y media renta.	La tasa de letalidad del caso se estima que es casi 10 veces más alta en países de ingresos bajos y medianos en comparación con países de ingresos altos.
¿Cómo puede afectar la neumonía infantil la salud posterior de una persona?	La neumonía temprana en la vida puede afectar negativamente la salud pulmonar a largo plazo reduciendo la función pulmonar [6]. La neumonía severa o recurrente puede tener un peor efecto en la función pulmonar; la evidencia creciente sugiere que la enfermedad pulmonar obstructiva crónica podría estar relacionada con la neumonía en la primera infancia.
